楼栋 ,房号 , 建筑面积,套内建筑面积,得房率,申请毛坯单价 ,装修价,总价 ,操作 
7幢2单元,202室,125.56㎡,109.22㎡,86.99%,26721元/㎡,-,3355088.76元,可售
7幢2单元,301室,125.56㎡,109.22㎡,86.99%,27021元/㎡,-,3392756.76元,可售
7幢2单元,302室,125.56㎡,109.22㎡,86.99%,27021元/㎡,-,3392756.76元,可售
7幢2单元,401室,125.56㎡,109.22㎡,86.99%,27271元/㎡,-,3424146.76元,可售
7幢2单元,402室,125.56㎡,109.22㎡,86.99%,27271元/㎡,-,3424146.76元,可售
7幢2单元,501室,125.56㎡,109.22㎡,86.99%,27521元/㎡,-,3455536.76元,可售
7幢2单元,502室,125.56㎡,109.22㎡,86.99%,27521元/㎡,-,3455536.76元,可售
7幢2单元,601室,125.56㎡,109.22㎡,86.99%,27900元/㎡,-,3503124元,可售
7幢2单元,602室,125.56㎡,109.22㎡,86.99%,27900元/㎡,-,3503124元,可售
7幢2单元,701室,125.56㎡,109.22㎡,86.99%,27750元/㎡,-,3484290元,可售
7幢2单元,702室,125.56㎡,109.22㎡,86.99%,27750元/㎡,-,3484290元,可售
7幢3单元,102室,138.44㎡,120.42㎡,86.98%,27049元/㎡,-,3744663.56元,可售
7幢3单元,201室,125.56㎡,109.22㎡,86.99%,26721元/㎡,-,3355088.76元,可售
7幢3单元,202室,138.44㎡,120.42㎡,86.98%,26726元/㎡,-,3699947.44元,可售
7幢3单元,301室,125.56㎡,109.22㎡,86.99%,27021元/㎡,-,3392756.76元,可售
7幢3单元,302室,138.44㎡,120.42㎡,86.98%,27026元/㎡,-,3741479.44元,可售
7幢3单元,401室,125.56㎡,109.22㎡,86.99%,27271元/㎡,-,3424146.76元,可售
7幢3单元,402室,138.44㎡,120.42㎡,86.98%,27276元/㎡,-,3776089.44元,可售
7幢3单元,501室,125.56㎡,109.22㎡,86.99%,27521元/㎡,-,3455536.76元,可售
7幢3单元,502室,138.44㎡,120.42㎡,86.98%,27526元/㎡,-,3810699.44元,可售
7幢3单元,601室,125.56㎡,109.22㎡,86.99%,27900元/㎡,-,3503124元,可售
7幢3单元,602室,138.44㎡,120.42㎡,86.98%,27776元/㎡,-,3845309.44元,可售
7幢3单元,701室,125.56㎡,109.22㎡,86.99%,27750元/㎡,-,3484290元,可售
7幢3单元,702室,138.44㎡,120.42㎡,86.98%,27626元/㎡,-,3824543.44元,可售
10幢1单元,102室,81.67㎡,68.35㎡,83.69%,26601元/㎡,-,2172503.67元,可售
10幢1单元,201室,115.58㎡,96.73㎡,83.69%,28987元/㎡,-,3350317.46元,可售
10幢1单元,202室,89.68㎡,75.06㎡,83.70%,25201元/㎡,-,2260025.68元,可售
10幢1单元,301室,115.58㎡,96.73㎡,83.69%,29287元/㎡,-,3384991.46元,
10幢1单元,302室,89.68㎡,75.06㎡,83.70%,25501元/㎡,-,2286929.68元,
10幢1单元,401室,115.58㎡,96.73㎡,83.69%,29537元/㎡,-,3413886.46元,可售
10幢1单元,402室,89.68㎡,75.06㎡,83.70%,25751元/㎡,-,2309349.68元,可售
10幢1单元,501室,115.58㎡,96.73㎡,83.69%,29787元/㎡,-,3442781.46元,可售
10幢1单元,502室,89.68㎡,75.06㎡,83.70%,26001元/㎡,-,2331769.68元,可售
10幢1单元,601室,115.58㎡,96.73㎡,83.69%,30037元/㎡,-,3471676.46元,可售
10幢1单元,602室,89.68㎡,75.06㎡,83.70%,26251元/㎡,-,2354189.68元,可售
10幢1单元,701室,115.58㎡,96.73㎡,83.69%,29887元/㎡,-,3454339.46元,可售
10幢1单元,702室,89.68㎡,75.06㎡,83.70%,26101元/㎡,-,2340737.68元,可售
10幢2单元,102室,89.83㎡,75.18㎡,83.69%,26204元/㎡,-,2353905.32元,可售
10幢2单元,201室,89.61㎡,75㎡,83.70%,25201元/㎡,-,2258261.61元,可售
10幢2单元,202室,89.68㎡,75.06㎡,83.70%,25201元/㎡,-,2260025.68元,可售
10幢2单元,301室,89.61㎡,75㎡,83.70%,25501元/㎡,-,2285144.61元,可售
10幢2单元,302室,89.68㎡,75.06㎡,83.70%,25501元/㎡,-,2286929.68元,可售
10幢2单元,401室,89.61㎡,75㎡,83.70%,25751元/㎡,-,2307547.11元,可售
10幢2单元,402室,89.68㎡,75.06㎡,83.70%,25751元/㎡,-,2309349.68元,可售
10幢2单元,501室,89.61㎡,75㎡,83.70%,26001元/㎡,-,2329949.61元,可售
10幢2单元,502室,89.68㎡,75.06㎡,83.70%,26001元/㎡,-,2331769.68元,可售
10幢2单元,601室,89.61㎡,75㎡,83.70%,26251元/㎡,-,2352352.11元,可售
10幢2单元,602室,89.68㎡,75.06㎡,83.70%,26251元/㎡,-,2354189.68元,可售
10幢2单元,701室,89.61㎡,75㎡,83.70%,26101元/㎡,-,2338910.61元,可售
10幢2单元,702室,89.68㎡,75.06㎡,83.70%,26101元/㎡,-,2340737.68元,可售
10幢3单元,102室,115.61㎡,96.76㎡,83.70%,28206元/㎡,-,3260895.66元,可售
10幢3单元,201室,89.68㎡,75.06㎡,83.70%,26209元/㎡,-,2350423.12元,可售
10幢3单元,202室,115.58㎡,96.73㎡,83.69%,27902元/㎡,-,3224913.16元,可售
10幢3单元,301室,89.68㎡,75.06㎡,83.70%,26509元/㎡,-,2377327.12元,可售
10幢3单元,302室,115.58㎡,96.73㎡,83.69%,28202元/㎡,-,3259587.16元,可售
10幢3单元,401室,89.68㎡,75.06㎡,83.70%,26759元/㎡,-,2399747.12元,可售
10幢3单元,402室,115.58㎡,96.73㎡,83.69%,28452元/㎡,-,3288482.16元,可售
10幢3单元,501室,89.68㎡,75.06㎡,83.70%,27009元/㎡,-,2422167.12元,可售
10幢3单元,502室,115.58㎡,96.73㎡,83.69%,28702元/㎡,-,3317377.16元,可售
10幢3单元,601室,89.68㎡,75.06㎡,83.70%,27259元/㎡,-,2444587.12元,可售
10幢3单元,602室,115.58㎡,96.73㎡,83.69%,28952元/㎡,-,3346272.16元,可售
10幢3单元,701室,89.68㎡,75.06㎡,83.70%,27109元/㎡,-,2431135.12元,可售
10幢3单元,702室,115.58㎡,96.73㎡,83.69%,28802元/㎡,-,3328935.16元,可售
